Rank,ChEMBL_ID,SMILES,Pred_pIC50,Exp_IC50_nM
1,CHEMBL1171837,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,10.63,13.1
2,CHEMBL5438171,CCn1cc(-c2ccc3c(c2)ncn3-c2cc(OC)c(C(N)=O)c(OC)c2)cn1,10.05,1680.0
3,CHEMBL6025517,CCn1cnc2cc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cc(-c3ccn[nH]3)c21,9.57,0.5
4,CHEMBL6021500,CC(C)n1c(C(F)F)nc2cc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cc(-c3ccn[nH]3)c21,9.46,0.2
5,CHEMBL6052249,O=C1C[C@@H](n2cnc3cc(C(=O)Nc4ccc(OC(F)(F)Cl)cc4)cc(-c4cncnc4)c32)CN1,9.45,0.5
6,CHEMBL5885010,C[C@@H](CF)n1c(C(F)F)nc2cc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cc(-c3cncnc3)c21,9.29,0.6
7,CHEMBL5902703,C[C@@H]1CCOc2nc3cc(C(=O)Nc4ccc(OC(F)(F)Cl)cc4)cc(-c4cnsc4)c3n21,9.28,0.3
8,CHEMBL5880185,C[C@H](n1cnc2cc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cc(-c3cncnc3)c21)C(C)(C)O,9.25,0.8
9,CHEMBL5742003,COC[C@H](C)n1cnc2cc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cc(-c3cncnc3)c21,9.25,0.5
10,CHEMBL5771178,CC[C@@H]1COCc2nc3cc(C(=O)Nc4ccc(OC(F)(F)Cl)cc4)cc(-c4ccn[nH]4)c3n21,9.23,0.3
